zid,function_zid,label,analysis_category,has_while,has_for_range,has_recursion,has_int_arithmetic,loc,c_status,c_quality,c_approximations,c_has_precond,its_status,its_quality,its_approximations,its_has_precond,its_modulo_abstracted,aprove_c_result,aprove_c_verdict_corrected,aprove_c_failure_reason,muval_c_result,muval_c_verdict_corrected,muval_c_failure_reason,verymax_result,verymax_verdict_corrected,verymax_failure_reason,koat_result,koat_verdict_corrected,koat_failure_reason,t2_result,t2_verdict_corrected,t2_failure_reason
Z11039,Z11036,Is monosyllabic in Turkish (python implementation),INT_LOOP_COMPLEX,0,0,0,1,8,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13560,Z13558,List.product Python,INT_LOOP_COMPLEX,0,0,0,1,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14049,Z14038,"sum list, Python",INT_LOOP_COMPLEX,0,0,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14854,Z13955,"Euler totient function, python (using math.gcd)",INT_LOOP_COMPLEX,0,1,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14855,Z14815,"is Wieferich number, python",INT_LOOP_COMPLEX,0,1,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14860,Z14859,"Delannoy number, python",INT_LOOP_COMPLEX,0,1,0,1,7,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14869,Z14864,"central Delannoy number, python",INT_LOOP_COMPLEX,0,1,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14884,Z14883,"little Schröder number, python",INT_LOOP_COMPLEX,0,1,0,1,8,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14895,Z14894,"Eulerian number, python",INT_LOOP_COMPLEX,0,1,0,1,7,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z15145,Z15143,"alternating factorial, python",INT_LOOP_COMPLEX,0,1,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z15165,Z15163,"hyperfactorial, Python",INT_LOOP_COMPLEX,0,1,0,1,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z15266,Z15265,"is perfect power (brute force), python",INT_LOOP_COMPLEX,1,1,0,1,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z15570,Z12684,are all true Python (explicitly True),INT_LOOP_COMPLEX,0,0,0,0,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z19603,Z19602,"First true, python",INT_LOOP_COMPLEX,0,0,0,1,7,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z22486,Z15201,"is Størmer number, python",INT_LOOP_COMPLEX,1,1,0,1,23,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z23577,Z13752,"lists intersect, Python",INT_LOOP_COMPLEX,0,0,0,0,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z24340,Z14966,"is factorial prime, python",INT_LOOP_COMPLEX,1,1,0,1,25,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z25590,Z25585,"reverse byte, python",INT_LOOP_COMPLEX,0,1,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z27745,Z27737,"decimal exponent, python",INT_LOOP_COMPLEX,1,0,0,1,16,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
